study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials_1.slider.response,trials_1.slider.rt,test_1.started,text_2.started,textbox.started,text_3.started,mouse.started,test_1.stopped,trial_2.textbox.text,trial_2.mouse.x,trial_2.mouse.y,trial_2.mouse.leftButton,trial_2.mouse.midButton,trial_2.mouse.rightButton,trial_2.mouse.time,trial_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cushion,0,0,0,1.011111111111111,7.265559499996016,,,,,,,,,,0,0,0,3,,,,,0.03445440001087263,,0.015170300001045689,0.03445440001087263,0.03445440001087263,7.297236399987014,1.011111111111111,7.265559499996016,,,,,,,,,,,,,,,043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
piano,1,1,0,1.0962962962962963,1.9614227999991272,,,,,,,,,,0,1,1,4,,,,,7.313048000010895,,7.302440400002524,7.313048000010895,7.313048000010895,9.279132499999832,1.0962962962962963,1.9614227999991272,,,,,,,,,,,,,,,043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
tiger,2,2,0,1.0962962962962963,1.0591724000114482,,,,,,,,,,0,2,2,1,,,,,9.29503909999039,,9.286400799988769,9.29503909999039,9.29503909999039,10.361417799984338,1.0962962962962963,1.0591724000114482,,,,,,,,,,,,,,,043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
book,3,3,0,1.0962962962962963,1.0658905000018422,,,,,,,,,,0,3,3,2,,,,,10.376808200002415,,10.364588399999775,10.376808200002415,10.376808200002415,11.444147100002738,1.0962962962962963,1.0658905000018422,,,,,,,,,,,,,,,043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
vase,4,4,0,1.0962962962962963,0.9286086999927647,,,,,,,,,,0,4,4,0,,,,,11.460749399993801,,11.449227900011465,11.460749399993801,11.460749399993801,12.394345799984876,1.0962962962962963,0.9286086999927647,,,,,,,,,,,,,,,043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
,0,0,0,,,l_f_,"life
","[-0.2777777777777778, 0.019444444444444445, 0.032407407407407406]","[-0.2814814814814815, -0.2490740740740741, -0.30925925925925923]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.529864399984945, 8.395595100009814, 9.211175500007812]","[None, None, 'text_3']",,,,,0,0,0,8,12.439483800000744,,,,,,,,12.407443600008264,12.439483800000744,12.439483800000744,12.439483800000744,0.01309449999826029,21.619173699989915,"life
","[-0.2777777777777778, 0.019444444444444445, 0.032407407407407406]","[-0.2814814814814815, -0.2490740740740741, -0.30925925925925923]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.529864399984945, 8.395595100009814, 9.211175500007812]","[None, None, 'text_3']",043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
,1,1,0,,,f_br_c,fabric,[0.03796296296296296],[-0.28888888888888886],[1],[0],[0],[4.444000899995444],['text_3'],,,,,0,1,1,4,21.634686800010968,,,,,,,,21.621550899988506,21.634686800010968,21.634686800010968,21.634686800010968,0.0022330000065267086,26.0662624000106,fabric,[0.03796296296296296],[-0.28888888888888886],[1],[0],[0],[4.444000899995444],['text_3'],043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
,2,2,0,,,t_m_t_,tomato,[0.03333333333333333],[-0.2777777777777778],[1],[0],[0],[4.291452200006461],['text_3'],,,,,0,2,2,9,26.081247399997665,,,,,,,,26.06987089998438,26.081247399997665,26.081247399997665,26.081247399997665,0.0034078999888151884,30.36218279998866,tomato,[0.03333333333333333],[-0.2777777777777778],[1],[0],[0],[4.291452200006461],['text_3'],043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
,3,3,0,,,t_g_r,tiger,[0.05555555555555555],[-0.29814814814814816],[1],[0],[0],[3.060078500013333],['text_3'],,,,,0,3,3,1,30.37726810001186,,,,,,,,30.365531799994642,30.37726810001186,30.37726810001186,30.37726810001186,0.0032130000181496143,33.42617099999916,tiger,[0.05555555555555555],[-0.29814814814814816],[1],[0],[0],[3.060078500013333],['text_3'],043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
,4,4,0,,,m_b_l_,mobile,[0.04351851851851852],[-0.29907407407407405],[1],[0],[0],[9.939648200001102],['text_3'],,,,,0,4,4,5,33.44140169999446,,,,,,,,33.428588799986755,33.44140169999446,33.44140169999446,33.44140169999446,0.002301400003489107,43.36896439999691,mobile,[0.04351851851851852],[-0.29907407407407405],[1],[0],[0],[9.939648200001102],['text_3'],043924,001,2024-11-07_13h28.16.704,Priming_exp,2024.2.1post4,60.062332688027524,2024-11-07 13h28.31.504766 +0530,
