study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials_1.slider.response,trials_1.slider.rt,test_1.started,text_2.started,textbox.started,text_3.started,mouse.started,test_1.stopped,trial_2.textbox.text,trial_2.mouse.x,trial_2.mouse.y,trial_2.mouse.leftButton,trial_2.mouse.midButton,trial_2.mouse.rightButton,trial_2.mouse.time,trial_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,0,0,0,1.0222222222222221,2.8109756000048947,,,,,,,,,,0,0,0,1,,,,,0.03573480001068674,,0.014177300006849691,0.03573480001068674,0.03573480001068674,2.840156799997203,1.0222222222222221,2.8109756000048947,,,,,,,,,,,,,,,498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
vase,1,1,0,1.0222222222222221,0.5964761000068393,,,,,,,,,,0,1,1,0,,,,,2.855976200022269,,2.844600700016599,2.855976200022269,2.855976200022269,3.456385400000727,1.0222222222222221,0.5964761000068393,,,,,,,,,,,,,,,498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
piano,2,2,0,1.0222222222222221,0.6122791999951005,,,,,,,,,,0,2,2,4,,,,,3.4722733999951743,,3.4617804000154138,3.4722733999951743,3.4722733999951743,4.089405800012173,1.0222222222222221,0.6122791999951005,,,,,,,,,,,,,,,498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
book,3,3,0,2.9555555555555557,2.879140600009123,,,,,,,,,,0,3,3,2,,,,,4.104781200003345,,4.092293099995004,4.104781200003345,4.104781200003345,6.986788800015347,2.9555555555555557,2.879140600009123,,,,,,,,,,,,,,,498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
cushion,4,4,0,1.0074074074074073,1.0636364000092726,,,,,,,,,,0,4,4,3,,,,,7.0029298000154085,,6.99070710001979,7.0029298000154085,7.0029298000154085,8.069369200005895,1.0074074074074073,1.0636364000092726,,,,,,,,,,,,,,,498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
,0,0,0,,,_a_e,vase,[-0.03981481481481482],[-0.27314814814814814],[1],[0],[0],[5.402815900015412],['text_3'],,,,,0,0,0,0,8.087028600013582,,,,,,,,8.07809530000668,8.087028600013582,8.087028600013582,8.087028600013582,0.008710599999176338,13.481609300011769,vase,[-0.03981481481481482],[-0.27314814814814814],[1],[0],[0],[5.402815900015412],['text_3'],498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
,1,1,0,,,f_br_c,fabric,[-0.03981481481481482],[-0.29444444444444445],[1],[0],[0],[3.70879080001032],['text_3'],,,,,0,1,1,4,13.497367300005862,,,,,,,,13.486295000009704,13.497367300005862,13.497367300005862,13.497367300005862,0.004500600014580414,17.19588390001445,fabric,[-0.03981481481481482],[-0.29444444444444445],[1],[0],[0],[3.70879080001032],['text_3'],498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
,2,2,0,,,m_b_l_,mobile,"[-0.003703703703703704, -0.023148148148148147]","[-0.2675925925925926, -0.2972222222222222]","[1, 1]","[0, 0]","[0, 0]","[3.726360200002091, 4.5927774000156205]","[None, 'text_3']",,,,,0,2,2,5,17.211106800008565,,,,,,,,17.198446599999443,17.211106800008565,17.211106800008565,17.211106800008565,0.0024482000153511763,21.79211020001094,mobile,"[-0.003703703703703704, -0.023148148148148147]","[-0.2675925925925926, -0.2972222222222222]","[1, 1]","[0, 0]","[0, 0]","[3.726360200002091, 4.5927774000156205]","[None, 'text_3']",498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
,3,3,0,,,l_f_,life,[-0.012037037037037037],[-0.29259259259259257],[1],[0],[0],[3.5100367999984883],['text_3'],,,,,0,3,3,8,21.807210200000554,,,,,,,,21.795065900019836,21.807210200000554,21.807210200000554,21.807210200000554,0.0027870000049006194,25.306115200015483,life,[-0.012037037037037037],[-0.29259259259259257],[1],[0],[0],[3.5100367999984883],['text_3'],498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
,4,4,0,,,_oo_,cook,[0.0],[-0.3212962962962963],[1],[0],[0],[3.326764199999161],['text_3'],,,,,0,4,4,2,25.321003799996106,,,,,,,,25.309166300023207,25.321003799996106,25.321003799996106,25.321003799996106,0.002888799994252622,28.63681880000513,cook,[0.0],[-0.3212962962962963],[1],[0],[0],[3.326764199999161],['text_3'],498637,001,2024-11-07_13h30.14.601,Priming_exp,2024.2.1post4,59.96893609193275,2024-11-07 13h30.20.675352 +0530,
