0.0024 	EXP 	slider: autoLog = True
0.0024 	EXP 	slider: styleTweaks = []
0.0024 	EXP 	slider: styleTweaks = []
0.0024 	EXP 	slider: styleTweaks = []
0.0024 	EXP 	slider: styleTweaks = []
0.0024 	EXP 	slider: contrast = 1.0
0.0024 	EXP 	slider: markerPos = None
0.0024 	EXP 	slider: autoLog = True
0.0024 	EXP 	textbox: autoLog = True
0.0086 	EXP 	Imported C:/Users/Jash/Downloads/PsychoPy/Word Priming/study_words.xlsx as conditions, 5 conditions, 1 params
0.0095 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'study_word': 'cushion', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0345 	EXP 	text: height = 0.05
0.0345 	EXP 	text: height = 0.05
0.0345 	EXP 	text: height = 0.05
0.0345 	EXP 	text: text = 'cushion'
0.0345 	EXP 	slider: markerPos = None
0.0345 	EXP 	slider: markerPos = None
0.0345 	EXP 	text: autoDraw = True
0.0345 	EXP 	slider: autoDraw = True
7.0522 	DATA 	Mouse: Left button down, pos=(423,197)
7.0796 	EXP 	slider: markerPos = 1.011111111111111
7.0965 	EXP 	slider: markerPos = 1.011111111111111
7.1132 	EXP 	slider: markerPos = 1.011111111111111
7.1296 	EXP 	slider: markerPos = 1.011111111111111
7.1466 	EXP 	slider: markerPos = 1.011111111111111
7.1632 	EXP 	slider: markerPos = 1.011111111111111
7.1794 	EXP 	slider: markerPos = 1.011111111111111
7.1966 	EXP 	slider: markerPos = 1.011111111111111
7.2131 	EXP 	slider: markerPos = 1.011111111111111
7.2292 	EXP 	slider: markerPos = 1.011111111111111
7.2464 	EXP 	slider: markerPos = 1.011111111111111
7.2629 	EXP 	slider: markerPos = 1.011111111111111
7.2702 	DATA 	Mouse:  Left button up, pos=(423,197)
7.2794 	EXP 	slider: markerPos = 1.011111111111111
7.2962 	EXP 	slider: markerPos = 1.011111111111111
7.2973 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'study_word': 'piano', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
7.3130 	EXP 	text: autoDraw = False
7.3130 	EXP 	slider: autoDraw = False
7.3130 	EXP 	text: height = 0.05
7.3130 	EXP 	text: height = 0.05
7.3130 	EXP 	text: height = 0.05
7.3130 	EXP 	text: text = 'piano'
7.3130 	EXP 	slider: markerPos = None
7.3130 	EXP 	slider: markerPos = None
7.3130 	EXP 	text: autoDraw = True
7.3130 	EXP 	slider: autoDraw = True
9.0344 	DATA 	Mouse: Left button down, pos=(446,214)
9.0615 	EXP 	slider: markerPos = 1.0962962962962963
9.0778 	EXP 	slider: markerPos = 1.0962962962962963
9.0949 	EXP 	slider: markerPos = 1.0962962962962963
9.1116 	EXP 	slider: markerPos = 1.0962962962962963
9.1285 	EXP 	slider: markerPos = 1.0962962962962963
9.1450 	EXP 	slider: markerPos = 1.0962962962962963
9.1614 	EXP 	slider: markerPos = 1.0962962962962963
9.1784 	EXP 	slider: markerPos = 1.0962962962962963
9.1947 	EXP 	slider: markerPos = 1.0962962962962963
9.2118 	EXP 	slider: markerPos = 1.0962962962962963
9.2284 	EXP 	slider: markerPos = 1.0962962962962963
9.2452 	EXP 	slider: markerPos = 1.0962962962962963
9.2617 	EXP 	slider: markerPos = 1.0962962962962963
9.2633 	DATA 	Mouse:  Left button up, pos=(446,214)
9.2779 	EXP 	slider: markerPos = 1.0962962962962963
9.2792 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'study_word': 'tiger', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
9.2950 	EXP 	text: autoDraw = False
9.2950 	EXP 	slider: autoDraw = False
9.2950 	EXP 	text: height = 0.05
9.2950 	EXP 	text: height = 0.05
9.2950 	EXP 	text: height = 0.05
9.2950 	EXP 	text: text = 'tiger'
