30.0027 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
30.0227 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
30.3583 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EDD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4F250>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4F8E0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021ED48F81C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
30.3584 	EXP 	window1: backgroundImage = ''
30.3584 	EXP 	window1: backgroundFit = 'none'
30.3588 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.3590 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.3627 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.3633 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.4087 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.4088 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.4096 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.4101 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000021EC9A4EF80>
30.4268 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
30.4268 	EXP 	window1: recordFrameIntervals = False
30.5896 	EXP 	window1: recordFrameIntervals = True
30.7729 	EXP 	Screen (0) actual frame rate measured at 60.16Hz
30.7730 	EXP 	window1: recordFrameIntervals = False
30.7731 	EXP 	window1: mouseVisible = True
33.5102 	INFO 	keyboard.Keyboard is using iohub backend.
33.5102 	EXP 	Priming_exp: status = STARTED
33.5106 	EXP 	window1: mouseVisible = True
33.5409 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
33.5608 	EXP 	window1: mouseVisible = True
33.5630 	EXP 	window1: mouseVisible = True
33.5631 	EXP 	window1: mouseVisible = True
33.5636 	EXP 	window1: mouseVisible = True
33.5642 	EXP 	window1: mouseVisible = True
33.5718 	EXP 	window1: mouseVisible = True
33.5719 	EXP 	window1: mouseVisible = True
33.5725 	EXP 	window1: mouseVisible = True
33.5729 	EXP 	window1: mouseVisible = True
33.5787 	EXP 	window1: mouseVisible = True
33.5788 	EXP 	window1: mouseVisible = True
33.5794 	EXP 	window1: mouseVisible = True
33.5799 	EXP 	window1: mouseVisible = True
33.5888 	EXP 	window1: mouseVisible = True
