7.4852 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
7.5046 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
7.8155 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4AF80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4AEF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4B940>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D180028280>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8156 	EXP 	window1: backgroundImage = ''
7.8156 	EXP 	window1: backgroundFit = 'none'
7.8158 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8160 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8203 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8210 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8656 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8657 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8663 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8669 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001D1F0F4BF40>
7.8867 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.8867 	EXP 	window1: recordFrameIntervals = False
8.0199 	EXP 	window1: recordFrameIntervals = True
8.2038 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
8.2039 	EXP 	window1: recordFrameIntervals = False
8.2041 	EXP 	window1: mouseVisible = True
11.0694 	INFO 	keyboard.Keyboard is using iohub backend.
11.0694 	EXP 	Priming_exp: status = STARTED
11.0697 	EXP 	window1: mouseVisible = True
11.0983 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.1180 	EXP 	window1: mouseVisible = True
11.1202 	EXP 	window1: mouseVisible = True
11.1203 	EXP 	window1: mouseVisible = True
11.1208 	EXP 	window1: mouseVisible = True
11.1213 	EXP 	window1: mouseVisible = True
11.1291 	EXP 	window1: mouseVisible = True
11.1292 	EXP 	window1: mouseVisible = True
11.1297 	EXP 	window1: mouseVisible = True
11.1301 	EXP 	window1: mouseVisible = True
11.1358 	EXP 	window1: mouseVisible = True
11.1359 	EXP 	window1: mouseVisible = True
11.1364 	EXP 	window1: mouseVisible = True
11.1369 	EXP 	window1: mouseVisible = True
11.1463 	EXP 	window1: mouseVisible = True
11.1464 	EXP 	window1: mouseVisible = True
11.1469 	EXP 	window1: mouseVisible = True
11.1474 	EXP 	window1: mouseVisible = True
11.1517 	EXP 	window1: mouseVisible = True
11.1557 	EXP 	window1: mouseVisible = True
11.1683 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
11.1685 	EXP 	window1: mouseVisible = True
